index,participants,hypernym,hyponym,word,words_excluded,id,full_list,clean_list,label,word_spec_map
2936,1G_15,alimento,"cibo, energia",torta,"cibo, energia",2936_1G_15,['alimento' 'torta' 'cibo' 'energia'],['alimento' 'torta'],['B-' 'B-' 'O' 'O'],
265,1G_22,oggetto con quattro o più ruote utilizzato per spostarsi o per sport che utilizza un motore per muoversi,subaru,automobile,oggetto con quattro o più ruote utilizzato per spostarsi o per sport che utilizza un motore per muoversi,265_1G_22,"['oggetto con quattro o più ruote utilizzato per spostarsi o per sport che utilizza un motore per muoversi'
 'automobile' 'subaru']",['automobile' 'subaru'],['O' 'B-' 'B-'],
1797,5D_18,unità di misura,"giorno, sole, stella",tempo,"sole, stella",1797_5D_18,['unità di misura' 'tempo' 'giorno' 'sole' 'stella'],['unità di misura' 'tempo' 'giorno'],['B-' 'B-' 'B-' 'O' 'O'],
873,2E_17,"misura, grandezza, entità astratta","giorno, ore, minuti, secondi",tempo,"ore, minuti, secondi",873_2E_17,"['misura' 'grandezza' 'entità astratta' 'tempo' 'giorno' 'ore' 'minuti'
 'secondi']",['misura' 'grandezza' 'entità astratta' 'tempo' 'giorno'],['B-' 'B-' 'B-' 'B-' 'B-' 'O' 'O' 'O'],
1052,3C_3,"lavoro, mestiere, occupazione",insegnante di mate,insegnante,mestiere,1052_3C_3,['lavoro' 'mestiere' 'occupazione' 'insegnante' 'insegnante di mate'],['lavoro' 'occupazione' 'insegnante' 'insegnante di mate'],['B-' 'O' 'B-' 'B-' 'B-'],
532,3C_6,"veicolo, mezzo di trasporto",panda,automobile,,532_3C_6,['veicolo' 'mezzo di trasporto' 'automobile' 'panda'],['veicolo' 'mezzo di trasporto' 'automobile' 'panda'],['B-' 'B-' 'B-' 'B-'],
2401,2F_12,"emozione, sentimento, frustrazione",,rabbia,"sentimento, frustrazione",2401_2F_12,['emozione' 'sentimento' 'frustrazione' 'rabbia'],['emozione' 'rabbia'],['B-' 'O' 'O' 'B-'],
2445,3B_5,sentimento,frustrazione,rabbia,,2445_3B_5,['sentimento' 'rabbia' 'frustrazione'],['sentimento' 'rabbia' 'frustrazione'],['B-' 'B-' 'B-'],
1519,5B_3,"professione, mestiere",prof,insegnante,mestiere,1519_5B_3,['professione' 'mestiere' 'insegnante' 'prof'],['professione' 'insegnante' 'prof'],['B-' 'O' 'B-' 'B-'],
162,1G_13,"sensazione, cosa interna, cosa astratta",,libertà,,162_1G_13,['sensazione' 'cosa interna' 'cosa astratta' 'libertà'],['sensazione' 'cosa interna' 'cosa astratta' 'libertà'],['B-' 'B-' 'B-' 'B-'],
2380,3C_21,"mestiere, dovere, cosa","insegnante privato, insegnante di storia",insegnante,cosa,2380_3C_21,"['mestiere' 'dovere' 'cosa' 'insegnante' 'insegnante privato'
 'insegnante di storia']","['mestiere' 'dovere' 'insegnante' 'insegnante privato'
 'insegnante di storia']",['B-' 'B-' 'O' 'B-' 'B-' 'B-'],
1667,3B_3,"emozione, sentimento, sensazione, presentimento",,libertà,"emozione, sentimento, presentimento",1667_3B_3,['emozione' 'sentimento' 'sensazione' 'presentimento' 'libertà'],['sensazione' 'libertà'],['O' 'O' 'B-' 'O' 'B-'],
1670,5D_10,"veicolo, mezzo, entità, oggetto, cosa",quad,automobile,"oggetto, cosa",1670_5D_10,['veicolo' 'mezzo' 'entità' 'oggetto' 'cosa' 'automobile' 'quad'],['veicolo' 'mezzo' 'entità' 'automobile' 'quad'],['B-' 'B-' 'B-' 'O' 'O' 'B-' 'B-'],
795,2E_12,"erbivoro, eucariote, animale, mammifero, entità","nero, mustang",cavallo,"eucariote, mammifero",795_2E_12,"['erbivoro' 'eucariote' 'animale' 'mammifero' 'entità' 'cavallo' 'nero'
 'mustang']",['erbivoro' 'animale' 'entità' 'cavallo' 'nero' 'mustang'],['B-' 'O' 'B-' 'O' 'B-' 'B-' 'B-' 'B-'],
683,3B_14,"lavoratore, persona, essere vivente, bipede, regno animale","babysitter, capelli neri",badante,"bipede, regno animale, babysitter, capelli neri",683_3B_14,"['lavoratore' 'persona' 'essere vivente' 'bipede' 'regno animale'
 'badante' 'babysitter' 'capelli neri']",['lavoratore' 'persona' 'essere vivente' 'badante'],['B-' 'B-' 'B-' 'O' 'O' 'B-' 'O' 'O'],
1368,1D_10,"emozione, stato d'animo",fomofobia,paura,stato d'animo,1368_1D_10,"['emozione' ""stato d'animo"" 'paura' 'fomofobia']",['emozione' 'paura' 'fomofobia'],['B-' 'O' 'B-' 'B-'],
2186,2F_23,vita parallela,incubo,sogno,vita parallela,2186_2F_23,['vita parallela' 'sogno' 'incubo'],['sogno' 'incubo'],['O' 'B-' 'B-'],
592,1D_20,persona,,badante,,592_1D_20,['persona' 'badante'],['persona' 'badante'],['B-' 'B-'],
2129,5D_7,,,mente,,2129_5D_7,[' mente'],[' mente'],['B-'],
664,2F_20,educare,"bambini, paziente, babysitter",badante,"educare, bambini, babysitter",664_2F_20,['educare' 'badante' 'bambini' 'paziente' 'babysitter'],['badante' 'paziente'],['O' 'B-' 'O' 'B-' 'O'],
2161,1G_15,sentimento,,paura,,2161_1G_15,['sentimento' 'paura'],['sentimento' 'paura'],['B-' 'B-'],
2625,3B_16,"fantasia, pensiero",,sogno,,2625_3B_16,['fantasia' 'pensiero' 'sogno'],['fantasia' 'pensiero' 'sogno'],['B-' 'B-' 'B-'],
583,5B_19,concetto astratto,di un animale,libertà,,583_5B_19,['concetto astratto' 'libertà' 'libertà di un animale'],['concetto astratto' 'libertà' 'libertà di un animale'],['B-' 'B-' 'B-'],di un animale|||libertà di un animale___
2318,3C_18,"sentimento, emozione, sensazione, cosa astratta","abbraccio, falso abbraccio",affetto,"emozione, abbraccio, falso abbraccio",2318_3C_18,"['sentimento' 'emozione' 'sensazione' 'cosa astratta' 'affetto'
 'abbraccio' 'falso abbraccio']",['sentimento' 'sensazione' 'cosa astratta' 'affetto'],['B-' 'O' 'B-' 'B-' 'B-' 'O' 'O'],
1826,5D_22,"mezzo, trasporto","elettrica, a benzina, a gas",automobile,"trasporto, a benzina, a gas",1826_5D_22,"['mezzo' 'trasporto' 'automobile' 'elettrica' 'elettrica a benzina'
 'elettrica a gas']",['mezzo' 'automobile' 'elettrica'],['B-' 'O' 'B-' 'B-' 'O' 'O'],a benzina|||elettrica a benzina___a gas|||elettrica a gas___
289,5B_1,"lavoro, entità","dada, babysitter",badante,"dada, babysitter",289_5B_1,['lavoro' 'entità' 'badante' 'dada' 'babysitter'],['lavoro' 'entità' 'badante'],['B-' 'B-' 'B-' 'O' 'O'],
1467,3B_21,"mestiere, lavoro",,insegnante,,1467_3B_21,['mestiere' 'lavoro' 'insegnante'],['mestiere' 'lavoro' 'insegnante'],['B-' 'B-' 'B-'],
2098,5B_2,,,mente,,2098_5B_2,[' mente'],[' mente'],['B-'],
207,1D_21,"macchina, professione","macchinista, taxista",autista,"macchina, macchinista",207_1D_21,['macchina' 'professione' 'autista' 'macchinista' 'taxista'],['professione' 'autista' 'taxista'],['O' 'B-' 'B-' 'O' 'B-'],
